,user,condition,performance,stim,uid,gls_id,bin,code
399,26,crulp,5748.625,8,26,0,1,1_8
400,26,ime,14571.6666666667,1,26,0,2,2_1
401,26,ime,22909.9090909091,2,26,0,2,2_2
402,26,ime,4781.44444444444,3,26,0,2,2_3
403,26,ime,14918.375,4,26,0,2,2_4
404,26,ime,6384.625,5,26,0,2,2_5
405,26,ime,13260.2727272727,6,26,0,2,2_6
406,26,ime,6495.22222222222,7,26,0,2,2_7
407,26,ime,9370.54545454545,8,26,0,2,2_8
408,26,windows,17119.4,1,26,0,3,3_1
409,26,windows,21818.1111111111,2,26,0,3,3_2
410,26,windows,22854.5454545455,3,26,0,3,3_3
411,26,windows,35255.3333333333,4,26,0,3,3_4
412,26,windows,21260.6,5,26,0,3,3_5
413,26,windows,16464.375,6,26,0,3,3_6
414,26,windows,17371.9,7,26,0,3,3_7
415,26,windows,19559.4,8,26,0,3,3_8
416,27,baseline,1781.5,1,27,1,0,0_1
417,27,baseline,1121.8,2,27,1,0,0_2
418,27,baseline,1305.88888888889,3,27,1,0,0_3
419,27,baseline,966.8,4,27,1,0,0_4
